date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:08	65655/65655	---M--	200	added ('OK')	image/jpeg	etag:%22e9911f0b481e65d0d60803605291b644%22	https://untalexito.com/images/WhatsApp%20Image%202023-03-05%20at%2011.07.24%20AM.jpeg	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/WhatsApp%20Image%202023-03-05%20at%2011.07.24%20AM.jpeg	(from https://untalexito.com/about.html)
18:24:10	143083/143083	---M--	200	added ('OK')	image/jpeg	etag:%22910968527755370b9df8ccc05fc67bb1%22	https://untalexito.com/images/941868f9-cf0b-44d0-b8d6-ecff6638e1fb.jpg	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/941868f9-cf0b-44d0-b8d6-ecff6638e1fb.jpg	(from https://untalexito.com/about.html)
18:24:16	1352279/1352279	---M--	200	added ('OK')	image/png	etag:%22a8d64a066e4f6cc945f65178edf57f5c%22	https://untalexito.com/images/GY.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/GY.png	(from https://untalexito.com/about.html)
18:24:19	1613894/1613894	---M--	200	added ('OK')	image/png	etag:%22c4773d69384154d33af9bc85bbeab7df%22	https://untalexito.com/images/HYHYTHGYTHGYTH.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/HYHYTHGYTHGYTH.png	(from https://untalexito.com/about.html)
18:24:19	285410/285410	---M--	200	added ('OK')	image/png	etag:%2216432ea55c8cff74fd098906814c2ccf%22	https://untalexito.com/images/Captura%20de%20Pantalla%202023-05-14%20a%20la(s)%203.41.25%20a.m..png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/Captura%20de%20Pantalla%202023-05-14%20a%20la(s)%203.41.25%20a.m..png	(from https://untalexito.com/courses.html)
18:24:21	361324/361324	---M--	200	added ('OK')	image/png	etag:%22865fd3f76a02c698d9d82d25ac1172ce%22	https://untalexito.com/images/periodismo.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/periodismo.png	(from https://untalexito.com/courses.html)
18:24:22	239487/239487	---M--	200	added ('OK')	image/png	etag:%221ee35b420b4104e18c81ffaef0128ba1%22	https://untalexito.com/images/prepa.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/prepa.png	(from https://untalexito.com/courses.html)
18:24:23	313527/313527	---M--	200	added ('OK')	image/png	etag:%22250c4edf91c96e11c48b25a82c599a96%22	https://untalexito.com/images/sistemas.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/sistemas.png	(from https://untalexito.com/courses.html)
18:24:24	297989/297989	---M--	200	added ('OK')	image/png	etag:%223723fc60d4f9e0d689b6767fae1d453e%22	https://untalexito.com/images/contador.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/contador.png	(from https://untalexito.com/courses.html)
18:24:27	1894381/1894381	---M--	200	added ('OK')	image/png	etag:%227823a062ac72d72e2fc124d5ad27f995%22	https://untalexito.com/images/CHAVIRA.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/CHAVIRA.png	(from https://untalexito.com/about.html)
18:24:27	328650/328650	---M--	200	added ('OK')	image/png	etag:%2234025dacdace0bb3157a40aad10a1ae3%22	https://untalexito.com/images/derecho.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/derecho.png	(from https://untalexito.com/courses.html)
18:24:29	317669/317669	---M--	200	added ('OK')	image/png	etag:%22cde1c8ac9828731c563673887749d795%22	https://untalexito.com/images/aduana.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/aduana.png	(from https://untalexito.com/courses.html)
18:24:30	318144/318144	---M--	200	added ('OK')	image/png	etag:%22eb10f5ccfbeefab0811b103bc81847f6%22	https://untalexito.com/images/admini.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/admini.png	(from https://untalexito.com/courses.html)
18:24:32	326119/326119	---M--	200	added ('OK')	image/png	etag:%22c7b767feb5712b467f7138c56b1f3f55%22	https://untalexito.com/images/patroleo.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/patroleo.png	(from https://untalexito.com/courses.html)
18:24:32	249764/249764	---M--	200	added ('OK')	image/png	etag:%22409aa1910eec520a7631c5e337e19901%22	https://untalexito.com/images/alta_dir.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/alta_dir.png	(from https://untalexito.com/courses.html)
